class_number,cluster_rep_sequence_accession,family_label_ncbi_2021,families_in_class_2021,family_label_ncbi_2023,sequences_per_class,sequences_percent,max_length,mean_length,std_length,kmers_per_class,kmers_percent,protein_description,protein_function_class,host,molecule_type,genus
0,NP_663784.1,Retroviridae,Retroviridae,Retroviridae,12256,1.1925113865571975,1550.0,334.67,176.88,54473,0.284,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus
1,YP_009072438.1,Coronaviridae,Coronaviridae-Herpesviridae-Orthomyxoviridae-Filoviridae-Flaviviridae-Astroviridae-Caliciviridae-Paramyxoviridae-Reoviridae-Retroviridae,Coronaviridae,12115,1.1787920567999712,7247.0,6770.29,1370.92,2946590,15.384,ORF1ab polyprotein,Other-Functions,Homo sapiens,ssRNA(+),Betacoronavirus
2,AKZ15547.1,Retroviridae,Retroviridae-Coronaviridae,Retroviridae,70061,6.816950085964736,968.0,332.57,266.54,426594,2.227,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus
3,7LX5_B,Coronaviridae,Coronaviridae-Reoviridae,Coronaviridae,7401,0.7201188619378116,1317.0,1221.58,228.16,242609,1.267,surface glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(+),Betacoronavirus
4,QIB02547.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,43152,4.1986987069774955,495.0,452.71,55.58,361220,1.886,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-),Alphainfluenzavirus
5,AFD32428.2,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,42254,4.1113231174598415,573.0,509.19,109.48,481956,2.516,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-),Alphainfluenzavirus
6,6T0W_A,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,36012,3.503975200122209,741.0,631.97,179.43,626212,3.269,polymerase PA,Replication-Transcription,Homo sapiens,ssRNA(-),Alphainfluenzavirus
7,ACA25446.1,Hepadnaviridae,Hepadnaviridae,Hepadnaviridae,33626,3.2718168965708485,1007.0,410.39,278.03,290813,1.518,polymerase,Replication-Transcription,Homo sapiens,dsDNA-RT,Orthohepadnavirus
8,ACF39684.1,Hepadnaviridae,Hepadnaviridae,Hepadnaviridae,33301,3.2401943279814973,582.0,259.76,93.98,54858,0.286,large S protein,Replication-Transcription,Homo sapiens,dsDNA-RT,Orthohepadnavirus
9,AQW44516.1,Flaviviridae,Flaviviridae-Coronaviridae-Hepadnaviridae,Flaviviridae,81816,7.960714066788811,3105.0,469.15,597.64,1027786,5.366,polyprotein-NS5B-NS5A-NS3-4A,Polyprotein,Homo sapiens,ssRNA(+),Hepacivirus
10,BAG82822.1,Picornaviridae,Picornaviridae-Retroviridae,Picornaviridae,32162,3.1293693876022015,2438.0,641.3,786.52,673593,3.517,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Enterovirus
11,6SZU_C,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,29461,2.8665615175719315,782.0,735.33,101.22,645787,3.372,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-),Alphainfluenzavirus
12,6SZU_B,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,25982,2.5280540833493066,767.0,737.59,89.47,570971,2.981,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-),Alphainfluenzavirus
13,QOE76806.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,22160,2.156172676738536,576.0,513.49,108.76,257074,1.342,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-),Alphainfluenzavirus
14,QSM12402.1,Coronaviridae,Coronaviridae,Coronaviridae,21781,2.1192958967528,427.0,407.62,55.0,114247,0.596,nucleocapsid phosphoprotein,Structural-Envelope,Homo sapiens,ssRNA(+),Betacoronavirus
15,QLC45894.1,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Flaviviridae,20504,1.9950435272494107,3661.0,1908.01,1489.75,1659395,8.663,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Orthoflavivirus
16,AAP76556.1,Retroviridae,Retroviridae,Retroviridae,20310,1.976167286306844,1288.0,329.74,125.7,81419,0.425,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus
17,ACY94426.1,Retroviridae,Retroviridae,Retroviridae,19189,1.8670937497263431,993.0,620.55,295.26,343006,1.791,envelope glycoprotein,Structural-Envelope,Macaca mulatta,ssRNA-RT,Lentivirus
18,AHK22794.1,Flaviviridae,Flaviviridae-Pneumoviridae-Herpesviridae-Poxviridae-Picornaviridae-Paramyxoviridae-Baculoviridae-Adenoviridae,Flaviviridae,16025,1.559235881982628,3247.0,275.0,431.76,75951,0.397,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Hepacivirus
19,QOE76828.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,12829,1.2482644074854998,656.0,495.66,57.97,130678,0.682,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-),Alphainfluenzavirus
20,QKF95578.1,Potyviridae,Potyviridae-Tymoviridae-Secoviridae-Closteroviridae-Alphaflexiviridae,Potyviridae,12451,1.2114849277108082,3553.0,1017.07,1216.18,470308,2.455,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Potyvirus
21,7KJR_A,Coronaviridae,Coronaviridae,Coronaviridae,12086,1.1759703506796906,279.0,268.77,31.58,8962,0.047,ORF3a protein,Other-Functions,Homo sapiens,ssRNA(+),Betacoronavirus
22,AKT71995.1,Reoviridae,Reoviridae,Sedoreoviridae,10204,0.9928513534945856,338.0,284.55,51.09,12875,0.067,VP7,Structural-Envelope,Homo sapiens,dsRNA,Rotavirus
23,ARB49194.1,Reoviridae,Reoviridae,Sedoreoviridae,7726,0.7517414305271628,783.0,458.85,261.36,78453,0.41,VP4,Structural-Envelope,Homo sapiens,dsRNA,Rotavirus
24,6IN5_A,Orthomyxoviridae,Orthomyxoviridae-Paramyxoviridae,Orthomyxoviridae,7397,0.7197296610936349,576.0,528.19,104.86,92273,0.482,hemagglutinin,Hemagglutinin,Gallus gallus,ssRNA(-),Alphainfluenzavirus
25,AAT01719.1,Picornaviridae,Picornaviridae,Picornaviridae,7066,0.6875232912380187,2350.0,585.44,748.2,126885,0.662,VP1,Polyprotein,Bos taurus,ssRNA(+),Aphthovirus
26,QLQ34863.1,Caliciviridae,Caliciviridae-Reoviridae,Caliciviridae,6754,0.6571656253922414,900.0,411.87,178.7,55941,0.292,VP1,Structural-Envelope,Homo sapiens,ssRNA(+),Norovirus
27,QOE76814.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,6385,0.6212618475169472,587.0,475.5,139.19,63048,0.329,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-),Betainfluenzavirus
28,QDY92359.1,Coronaviridae,Coronaviridae,Coronaviridae,5418,0.5271725434372467,1180.0,477.99,306.28,64345,0.336,spike glycoprotein,Structural-Envelope,Gallus gallus,ssRNA(+),Gammacoronavirus
29,QSC88236.1,Pneumoviridae,Pneumoviridae,Pneumoviridae,5119,0.4980797803350435,366.0,223.52,73.84,2676,0.014,attachment glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(-),Orthopneumovirus
30,YP_010087836.1,Geminiviridae,Geminiviridae-Caulimoviridae-Alphasatellitidae,Geminiviridae,5087,0.4949661735816305,283.0,238.72,35.47,4017,0.021,coat protein,Other-Functions,Solanum lycopersicum,ssDNA(+/-),Begomovirus
31,QFR36400.1,Geminiviridae,Geminiviridae-Virgaviridae-Caulimoviridae-Alphasatellitidae,Geminiviridae,8286,0.8062295487118911,469.0,293.71,98.16,19963,0.104,replication-associated protein,Replication-Transcription,Solanum lycopersicum,ssDNA(+/-),Begomovirus
32,AVM87625.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,4547,0.4424240596177853,472.0,454.45,42.65,38468,0.201,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-),Betainfluenzavirus
